m_lat,m_long,m_alt,m_rssi
44.444784,26.05478,80.6,-133
44.434792,26.047556,147.1,-105
44.434708,26.04607,88.1,-109
44.435212,26.04568,40.3,-113
44.444784,26.05478,80.6,-120
44.4428,26.060068,90,-137
44.437064,26.0546,96,-128
44.432196,26.053448,172.9,-135
44.444784,26.05478,80.6,-131
44.437064,26.0546,96,-127
44.4402,26.051426,81.1,-134
44.444112,26.061592,73.5,-138
44.44524,26.053184,138.3,-106
44.443676,26.058478,65,-111
44.444988,26.052332,93,-114
44.445132,26.050202,31.9,-114
44.434792,26.047556,147.1,-112
44.434708,26.04607,88.1,-115
44.435632,26.047132,100.6,-111
44.434648,26.049132,84.7,-113
